stage,base_model_type,base_params,base_p1_sample_weight,base_p2_sample_weight,base_p4_sample_weight,p1p2_model_type,p1p2_params,boundary_p1_sample_weight,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.2,sgd_log,alpha=0.05,1.0,1.0,1.561263933142455,0.6856,0.6843065552374249,0.684306555237425,0.6856,0.596,0.8976,0.46,0.624,0.596,0.876,0.644,0.688,0.7195979899497488,0.7190932004902096,0.71923613984351,0.7193935333231816,0.6482412060301508,0.9035175879396985,0.40904522613065325,0.6482412060301508,0.6565656565656566,0.86,0.7085427135678392,0.7236180904522613
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.2,sgd_log,alpha=0.05,1.2,1.0,1.5601777174795228,0.684,0.6832961957992046,0.6832961957992048,0.6839999999999999,0.6,0.896,0.464,0.628,0.6,0.86,0.616,0.716,0.7206030150753768,0.7206725000005296,0.7208176645804529,0.7204439876148419,0.6582914572864321,0.8994974874371859,0.41608040201005025,0.6582914572864321,0.6767676767676768,0.835,0.6884422110552764,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.0,sgd_log,alpha=0.05,1.0,1.0,1.5599877408625242,0.688,0.6863129014375406,0.6863129014375405,0.6880000000000001,0.592,0.8952,0.4608,0.628,0.62,0.888,0.592,0.712,0.7256281407035176,0.7248618889648625,0.7250128199662379,0.7254289122379575,0.6482412060301508,0.9015075376884422,0.40904522613065325,0.6482412060301508,0.6767676767676768,0.875,0.6884422110552764,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.4,sgd_log,alpha=0.05,1.0,1.0,1.559168381795736,0.684,0.6836806363262269,0.683680636326227,0.6839999999999999,0.596,0.9,0.4592,0.624,0.596,0.848,0.652,0.7,0.7175879396984924,0.7175424205930507,0.7176679837118964,0.7174237348357952,0.6482412060301508,0.9035175879396985,0.41105527638190953,0.6482412060301508,0.6616161616161617,0.825,0.7185929648241206,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.4,sgd_log,alpha=0.03,1.2,1.0,1.5560239245593837,0.688,0.6878398742656396,0.6878398742656396,0.6880000000000001,0.588,0.8984,0.46,0.64,0.588,0.84,0.66,0.712,0.7165829145728643,0.7164069279386399,0.7165605247160438,0.7163933302878027,0.6363636363636364,0.9025125628140703,0.41608040201005025,0.6683417085427136,0.6363636363636364,0.825,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.2,sgd_log,alpha=0.03,1.2,1.0,1.555182409770664,0.688,0.6866373496177736,0.6866373496177735,0.6880000000000001,0.588,0.8992,0.4608,0.64,0.588,0.864,0.632,0.716,0.7185929648241206,0.7179215051134958,0.7180828452264179,0.7183832800365464,0.6363636363636364,0.9015075376884422,0.41809045226130653,0.6683417085427136,0.6363636363636364,0.845,0.6984924623115578,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.0,sgd_log,alpha=0.03,1.0,1.0,1.5539076335451394,0.6864,0.6847127225752327,0.6847127225752327,0.6864000000000001,0.592,0.8952,0.4624,0.624,0.616,0.888,0.592,0.712,0.7195979899497488,0.7186108093954993,0.7187732387137066,0.71938353383077,0.6331658291457286,0.9015075376884422,0.41708542713567837,0.6331658291457286,0.6616161616161617,0.875,0.6884422110552764,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.2,sgd_log,alpha=0.05,1.2,1.0,1.5530107510399114,0.684,0.6830179183998524,0.6830179183998524,0.6839999999999999,0.592,0.8984,0.4616,0.628,0.592,0.872,0.636,0.692,0.7206030150753768,0.7201628162449557,0.7203090317230028,0.7204036343332826,0.6532663316582915,0.9015075376884422,0.4130653266331658,0.6532663316582915,0.6616161616161617,0.86,0.7035175879396985,0.7236180904522613
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.2,sgd_log,alpha=0.03,1.0,1.0,1.5527643616841649,0.684,0.6826739361402749,0.6826739361402749,0.6839999999999999,0.592,0.8976,0.4616,0.62,0.592,0.876,0.644,0.688,0.714572864321608,0.7138103618086656,0.7139617053620958,0.714358255926095,0.6331658291457286,0.9035175879396985,0.41608040201005025,0.6331658291457286,0.6464646464646465,0.86,0.7085427135678392,0.7236180904522613
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.0,sgd_log,alpha=0.05,1.2,1.0,1.5523983488304498,0.688,0.6857305813840829,0.6857305813840829,0.6880000000000001,0.592,0.8992,0.456,0.632,0.592,0.896,0.608,0.712,0.7206030150753768,0.7196508089424101,0.7198048357815869,0.7203834830719252,0.6532663316582915,0.8994974874371859,0.41608040201005025,0.6532663316582915,0.6565656565656566,0.875,0.6834170854271356,0.7336683417085427
